"name","age","sex","position","nationality"
"Julie",27,"F","PhDstudent","DK"
"Thomas",33,"M","Postdoc","GB"
"Emilie",23,"F","PhDstudent","CH"
"Sofie",31,"F","Postdoc","DK"
"Sara",29,"F","Postdoc","US"
"Cecilie",34,"F","Postdoc","DK"
"Anders",32,"M","PhDstudent","UK"
"Emma",42,"F","Professor","DK"
"Caroline",31,"F","PhDstudent","DK"
"Laura",30,"F","Postdoc","DK"
"Mikkel",33,"M","Postdoc","NL"
"Jens",27,"M","PhDstudent","DK"
"Andreas",29,"M","PhDstudent","DK"
"Jakob",28,"M","PhDstudent","DK"
"Mathilde",61,"F","Professor","DK"
"Katrine",35,"F","Postdoc","DK"
"Poul",30,"M","Postdoc","DK"
"Anna",26,"F","PhDstudent","DK"
"Peter",42,"M","Professor","GB"
"Ida",53,"F","Postdoc","DK"
"Freja",30,"F","Postdoc","DK"
"Maria",39,"F","Professor","UK"
"Amalie",29,"F","PhDstudent","DK"
"Camilla",35,"F","Postdoc","DK"
