case_id,taxpayer_name,taxpayer_id,tax_type,declaration_type,filing_date,declared_amount,assessed_amount,status,handler,jurisdiction,last_updated
2023-0001,宏達電子股份有限公司,24581379,營所稅,結算申報,2023-05-15,450000,450000,結案,陳建宏,臺北市國稅局中正分局,2023-08-01 10:30:00
2023-0002,王小明,05678934,綜所稅,結算申報,2023-05-25,120000,115000,結案,林詠晴,臺北市國稅局信義分局,2023-07-10 09:20:00
2024-0001,光洋工業股份有限公司,84736251,營所稅,結算申報,2024-05-31,980000,1000000,結案,王大明,中區國稅局臺中分局,2024-08-15 14:45:00
2024-0002,林淑芬,13579246,綜所稅,結算申報,2024-05-10,30000,30000,結案,李惠如,臺北市國稅局中正分局,2024-06-20 08:10:00
2024-0003,誠美商店,98765432,營業稅,結算申報,2024-03-15,15000,15000,結案,趙子健,南區國稅局臺南分局,2024-03-30 15:00:00
2024-0004,萬達貿易有限公司,56789012,營業稅,補申報,2024-06-10,20000,20000,結案,黃佩玲,北區國稅局板橋稽徵所,2024-07-05 11:25:00
2024-0005,李志明,31415926,綜所稅,補申報,2024-09-30,45000,47000,結案,林詠晴,臺北市國稅局信義分局,2024-11-10 17:00:00
2024-0006,華興電子股份有限公司,77788899,營所稅,更正申報,2024-08-05,600000,600000,結案,陳建宏,北區國稅局板橋稽徵所,2024-10-01 09:00:00
2025-0001,建宏科技股份有限公司,11122233,營所稅,結算申報,2025-05-31,1250000,1300000,核定,王大明,中區國稅局臺中分局,2025-09-15 14:20:00
2025-0002,陳冠宇,44455678,綜所稅,結算申報,2025-05-20,80000,80000,結案,李惠如,臺北市國稅局中正分局,2025-07-05 16:10:00
2025-0003,萬家商店,22233445,營業稅,結算申報,2025-03-15,18000,18000,結案,趙子健,南區國稅局臺南分局,2025-03-30 09:00:00
2025-0004,順達貿易有限公司,33344556,營業稅,更正申報,2025-07-20,50000,52000,補件,黃佩玲,北區國稅局板橋稽徵所,2025-08-01 10:00:00
2025-0005,宏盛建設股份有限公司,99900011,營所稅,更正申報,2025-10-05,720000,750000,待審核,陳建宏,臺北市國稅局信義分局,2025-11-01 14:50:00
2025-0006,張美麗,88877766,綜所稅,更正申報,2025-06-30,50000,48000,補件,林詠晴,臺北市國稅局中正分局,2025-08-10 10:30:00
2025-0007,遠揚貿易有限公司,12121212,營所稅,補申報,2025-08-10,310000,320000,核定,王大明,中區國稅局臺中分局,2025-10-01 09:40:00
2025-0008,李國強,65432109,綜所稅,補申報,2025-10-30,95000,97000,待審核,李惠如,臺北市國稅局信義分局,2025-11-15 12:00:00
2025-0009,全新零售股份有限公司,12344321,營業稅,補申報,2025-09-30,40000,40000,核定,趙子健,南區國稅局臺南分局,2025-10-20 16:30:00
2025-0010,榮華超市,45678901,營業稅,稽徵通知,2025-08-30,0,25000,核定,黃佩玲,北區國稅局板橋稽徵所,2025-08-30 09:00:00
2025-0011,高富豪,10203040,綜所稅,稽徵通知,2025-10-01,0,300000,核定,陳建宏,臺北市國稅局中正分局,2025-10-01 08:30:00
2025-0012,長紅貿易股份有限公司,31427182,營所稅,稽徵通知,2025-11-20,0,800000,核定,王大明,臺北市國稅局信義分局,2025-11-20 09:10:00
