15.0 2.33979 13 0.10879
15.1 2.38405 13 0.11248
15.2 2.42873 13 0.11618
15.3 2.47382 13 0.11989
15.4 2.52572 14 0.12361
15.5 2.58729 14 0.12734
15.6 2.64999 14 0.13108
15.7 2.71384 14 0.13484
15.8 2.77885 14 0.13860
15.9 2.84501 14 0.14237
16.0 2.91236 14 0.14616
16.1 2.98088 14 0.14995
16.2 3.05061 14 0.15375
16.3 3.12154 14 0.15757
16.4 3.19370 14 0.16139
16.5 3.26710 14 0.16522
16.6 3.34174 14 0.16906
16.7 3.41764 14 0.17291
16.8 3.49481 14 0.17677
16.9 3.57326 14 0.18063
17.0 3.65301 14 0.18451
17.1 3.73406 14 0.18839
17.2 3.81643 14 0.19228
17.3 3.90368 14 0.19613
17.4 3.98699 14 0.20004
17.5 4.05973 14 0.20395
17.6 4.13325 14 0.20788
17.7 4.20757 14 0.21181
17.8 4.28268 14 0.21575
17.9 4.35858 14 0.21969
18.0 4.43527 14 0.22365
18.1 4.51276 14 0.22761
18.2 4.59105 14 0.23158
18.3 4.70015 14 0.23760
18.4 4.81933 14 0.24424
18.5 4.94062 14 0.25095
18.6 5.06406 14 0.25773
18.7 5.18967 14 0.26458
18.8 5.31747 14 0.27149
18.9 5.44749 14 0.27848
19.0 5.57976 14 0.28553
19.1 5.71429 14 0.29266
19.2 5.85112 14 0.29986
19.3 5.99027 14 0.30713
19.4 6.13176 14 0.31447
19.5 6.27563 14 0.32189
19.6 6.42189 14 0.32938
19.7 6.57058 14 0.33694
19.8 6.72173 14 0.34458
19.9 6.87535 14 0.35229
20.0 7.03148 14 0.36009
20.1 7.24931 14 0.36809
20.2 7.40978 14 0.37604
20.3 7.57284 14 0.38406
20.4 7.71182 14 0.39054
20.5 7.80639 14 0.39428
20.6 7.90175 14 0.39803
20.7 7.99791 14 0.40180
20.8 8.09486 14 0.40558
20.9 8.19262 14 0.40936
21.0 8.29117 14 0.41316
21.1 8.39053 14 0.41697
21.2 8.49070 14 0.42080
21.3 8.59168 14 0.42463
21.4 8.69347 14 0.42848
